Portuguese Word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
acidental,0,0,0,1,0,1,0,0,1,0
acidentalmente,0,0,0,0,0,0,0,0,1,0
elogio,0,1,0,0,1,0,1,0,1,1
acomodar,0,0,0,0,0,0,0,0,0,0
alojamento,0,0,0,0,0,0,1,0,0,0
acompanhamento,0,1,0,0,1,0,1,0,0,1
acompanhar,0,0,0,0,0,0,0,0,0,0
acompanhante,0,0,0,0,0,0,0,0,0,0
cúmplice,0,0,0,0,0,0,0,0,0,0
concluir,0,0,0,0,1,0,1,0,0,0
realizado,0,0,0,0,1,0,1,0,0,0
realização,0,0,0,0,0,0,1,0,0,0
acordo,0,0,0,0,0,0,1,0,0,1
conformidade,0,0,0,0,0,0,0,0,0,0
acordeão,0,0,0,0,0,0,0,0,0,0
conta,0,0,0,0,0,0,0,0,0,1
responsabilidade,0,0,0,0,0,0,1,0,0,1
responsável,0,0,0,0,0,0,1,0,0,1
contador,0,0,0,0,0,0,0,0,0,1
contabilidade,0,0,0,0,0,0,0,0,0,0
contas,0,0,0,0,0,0,0,0,0,1
credenciado,0,0,0,0,0,0,1,0,0,1
acreção,0,0,0,0,0,0,0,0,0,0
acumular,0,0,0,0,0,0,0,0,0,0
acusar,0,0,0,0,0,0,1,0,0,0
acumular,0,0,0,0,0,0,0,0,0,0
acumulação,0,0,0,0,0,0,0,0,0,0
precisão,0,0,0,0,0,0,0,0,0,0
exato,0,0,0,0,0,0,1,0,0,1
maldito,1,0,0,1,0,1,0,1,0,0
acusação,1,0,1,0,0,1,0,0,0,0
acusativo,0,0,0,0,0,1,0,0,0,0
acusado,1,0,0,1,0,1,0,0,0,0
acusador,1,0,0,1,0,1,0,0,0,0
acusando,1,0,0,1,0,1,0,0,0,0
acostumado,0,0,0,0,0,0,0,0,0,0
ás,0,0,0,0,0,0,1,0,0,0
acético,0,0,0,0,0,0,0,0,0,0
dor,0,0,0,0,0,1,0,1,0,0
alcançar,0,0,0,0,1,0,1,0,0,1
conquista,0,1,0,0,1,0,1,0,0,1
dolorido,0,0,0,0,0,1,0,1,0,0
ácido,0,0,0,0,0,1,0,0,0,0
acidez,0,0,0,0,0,0,0,0,0,0
reconhecer,0,0,0,0,0,0,0,0,0,0
reconhecido,0,0,0,0,0,0,0,0,0,0
reconhecimento,0,0,0,0,0,0,1,0,0,0
acme,0,0,0,0,0,0,0,0,0,0
acústico,0,0,0,0,0,0,0,0,0,0
acústica,0,0,0,0,0,0,0,0,0,0
familiarizar,0,0,0,0,0,0,0,0,0,0
conhecimento,0,0,0,0,0,0,0,0,0,0
familiarizado,0,0,0,0,0,0,0,0,0,0
aquiescência,0,0,0,0,0,0,0,0,0,0
adquirir,0,0,0,0,0,0,1,0,0,0
adquirindo,0,1,0,0,0,0,1,0,0,0
aquisição,0,0,0,0,0,0,0,0,0,0
aquisições,0,0,0,0,0,0,0,0,0,0
área cultivada,0,0,0,0,0,0,0,0,0,0
acres,0,0,0,0,0,0,0,0,0,0
acrobata,0,0,0,1,1,0,1,0,0,1
Aja,0,0,0,0,0,0,0,0,0,0
atuação,0,0,0,0,0,0,0,0,0,0
ação,0,0,0,0,0,0,1,0,0,0
acionável,1,0,1,0,0,1,0,0,0,0
ativo,0,0,0,0,0,0,0,0,0,0
atividade,0,0,0,0,0,0,0,0,0,0
ator,0,0,0,0,0,0,0,0,0,0
real,0,0,0,0,0,0,1,0,0,0
realidade,0,0,0,0,0,0,0,0,0,0
atuário,0,0,0,0,0,0,0,0,0,0
acuidade,0,0,0,0,0,0,1,0,0,0
perspicácia,0,0,0,0,0,0,1,0,0,0
acupuntura,0,0,0,0,0,0,0,0,0,0
agudamente,0,0,0,0,0,0,0,0,0,0
adágio,0,0,0,0,0,0,0,0,0,0
diamante,0,0,0,0,0,0,0,0,0,0
adaptar,0,0,0,0,0,0,1,0,0,0
adaptável,0,0,0,0,0,0,1,0,0,0
adicionar,0,0,0,0,0,0,0,0,0,0
adicionado,0,0,0,0,0,0,0,0,0,0
termo aditivo,0,0,0,0,0,0,0,0,0,0
adicionador,1,0,1,1,0,1,0,1,0,0
vício,0,0,0,0,0,1,0,0,0,0
Adição,0,0,0,0,0,0,0,0,0,0
adicional,0,0,0,0,0,0,0,0,0,0
aditivo,0,0,0,0,0,0,0,0,0,0
Morada,0,0,0,0,0,0,0,0,0,0
destinatário,0,0,0,0,0,0,0,0,0,0
endereços,0,1,0,0,0,0,1,0,0,0
adepto,0,0,0,0,0,0,1,0,0,0
adequação,0,0,0,0,0,0,1,0,0,0
adequado,0,0,0,0,0,0,0,0,0,0
aderir,0,0,0,0,0,0,0,0,0,0
adesão,0,0,0,0,0,0,0,0,0,0
aderente,0,0,0,0,0,0,0,0,0,0
aderente,0,0,0,0,0,0,0,0,0,1
adesão,0,0,0,0,0,0,0,0,0,0
adesivo,0,0,0,0,0,0,0,0,0,0
adeus,0,0,0,0,0,0,0,0,0,0
adiposo,0,0,0,0,0,1,0,0,0,0
adjacência,0,0,0,0,0,0,0,0,0,0
adjacente,0,0,0,0,0,0,0,0,0,0
adjetivo,0,0,0,0,0,0,0,0,0,0
adjacente,0,0,0,0,0,0,0,0,0,0
adiar,0,0,0,0,0,0,0,0,0,0
adiamento,0,0,0,0,0,0,0,0,0,0
julgar,0,0,0,1,0,1,0,0,0,0
adjudicação,0,0,0,0,0,0,0,0,0,0
adjunto,0,0,0,0,0,0,1,0,0,0
ajustar,0,0,0,0,0,0,0,0,0,0
ajustamento,0,0,0,0,0,0,0,0,0,0
adjuvante,0,0,0,0,0,0,0,0,0,0
administrador,0,0,0,0,0,0,0,0,0,0
administração,0,0,0,0,0,0,0,0,0,0
administrativo,0,0,0,0,0,0,0,0,0,1
admirável,0,0,0,0,1,0,1,0,0,1
almirante,0,0,0,0,0,0,1,0,0,1
almirantado,0,0,0,0,0,0,0,0,0,0
admiração,0,0,0,0,1,0,1,0,0,1
admirar,0,0,0,0,0,0,1,0,0,1
admirador,0,0,0,0,0,0,1,0,0,0
admissibilidade,0,0,0,0,0,0,0,0,0,0
admissível,0,0,0,0,0,0,1,0,0,1
admissão,0,0,0,0,0,0,0,0,0,0
Admitem,0,0,0,0,0,0,0,0,0,0
admissão,0,0,0,0,0,0,0,0,0,0
admitido,0,0,0,0,0,0,0,0,0,0
admitindo,0,0,0,0,0,0,0,0,0,0
mistura,0,0,0,0,0,0,0,0,0,0
admoestação,0,0,0,1,0,1,0,0,0,0
alvoroço,0,0,0,0,0,0,0,0,0,0
adobe,0,0,0,0,0,0,0,0,0,0
adolescência,0,0,0,0,0,0,0,0,0,0
adolescente,0,0,0,0,0,0,0,0,0,0
adotar,0,0,0,0,0,0,0,0,0,0
adoção,0,0,0,0,0,0,0,0,0,0
adorável,0,0,0,0,1,0,1,0,0,0
adoração,0,0,0,0,1,0,1,0,0,1
adorar,0,1,0,0,1,0,1,0,0,1
adornar,0,0,0,0,0,0,0,0,0,0
adorno,0,0,0,0,0,0,0,0,0,0
à deriva,0,1,0,1,0,1,0,1,0,0
adulto,0,0,0,0,0,0,0,0,0,0
adulterado,0,0,0,0,0,1,0,0,0,0
adultério,0,0,1,0,0,1,0,1,0,0
avançar,0,1,0,1,1,0,1,0,1,0
avançado,0,0,0,0,0,0,1,0,0,0
avanço,0,0,0,0,0,0,1,0,0,0
avançando,0,0,0,0,0,0,0,0,0,0
vantagem,0,0,0,0,0,0,1,0,0,0
vantajoso,0,0,0,0,0,0,1,0,0,0
advento,0,1,0,0,1,0,1,0,0,1
aventura,0,1,0,0,0,0,1,0,0,0
aventureiro,0,0,0,0,0,0,0,0,0,0
aventureiro,0,0,0,0,0,0,1,0,0,0
adversário,1,0,0,0,0,1,0,0,0,0
desfavoraveis,1,0,1,1,0,1,0,1,0,0
adversidade,1,0,0,1,0,1,0,1,0,0
anunciar,0,0,0,0,0,0,0,0,0,0
propaganda,0,0,0,0,0,0,0,0,0,0
adendo,0,0,0,0,0,0,0,0,0,1
aconselhável,0,0,0,0,0,0,1,0,0,1
conselho,0,0,0,0,0,0,1,0,0,1
aconselhado,0,0,0,0,0,0,0,0,0,1
conselho,0,0,0,0,0,0,0,0,0,0
conselheiro,0,0,0,0,0,0,1,0,0,1
advocacia,1,1,0,0,1,0,1,0,0,1
advogado,0,0,0,0,0,0,0,0,0,1
égide,0,0,0,0,0,0,0,0,0,0
arejamento,0,0,0,0,0,0,0,0,0,0
aéreo,0,0,0,0,0,0,0,0,0,0
aeródromo,0,0,0,0,0,0,0,0,0,0
aerodinâmica,0,0,0,0,0,0,0,0,0,0
aeronáutica,0,0,0,0,0,0,0,0,0,0
avião,0,0,0,0,0,0,0,0,0,0
estético,0,0,0,0,0,0,1,0,0,0
estética,0,0,0,0,1,0,1,0,0,0
etiologia,0,0,0,0,0,0,0,0,0,0
longe,0,0,0,0,0,0,0,0,0,0
afável,0,0,0,0,0,0,1,0,0,0
caso,0,0,0,0,0,0,0,0,0,0
afetando,0,0,0,0,0,0,0,0,0,0
afeição,0,0,0,0,1,0,1,0,0,1
afetos,0,0,0,0,0,0,0,0,0,0
afixar,0,0,0,0,0,0,0,0,0,0
declaração juramentada,0,0,0,0,0,0,0,0,0,0
afiliado,0,0,0,0,0,0,1,0,0,0
afiliação,0,0,0,0,0,0,0,0,0,0
afinidade,0,0,0,0,0,0,0,0,0,0
afirmar,0,0,0,0,0,0,1,0,0,1
afirmação,0,0,0,0,0,0,1,0,0,0
afirmativo,0,0,0,0,0,0,1,0,0,0
afirmativamente,0,0,0,0,0,0,1,0,0,1
afixo,0,0,0,0,0,0,0,0,0,0
afligir,0,0,0,1,0,1,0,1,0,0
aflito,0,0,0,0,0,1,0,0,0,0
aflição,0,0,1,1,0,1,0,1,0,0
afluência,0,0,0,0,1,0,1,0,0,0
afluente,0,0,0,0,0,0,1,0,0,0
proporcionar,0,0,0,0,0,0,1,0,0,0
afronta,1,0,1,1,0,1,0,1,1,0
longe,0,0,0,0,0,0,0,0,0,0
antes,0,0,0,0,0,0,0,0,0,0
acima mencionado,0,0,0,0,0,0,0,0,0,0
supracitado,0,0,0,0,0,0,0,0,0,0
com medo,0,0,0,1,0,1,0,0,0,0
de novo,0,0,0,0,0,0,0,0,0,0
popa,0,0,0,0,0,0,0,0,0,0
consequências,1,0,1,1,0,1,0,1,0,0
tarde,0,0,0,0,0,0,0,0,0,0
sabor residual,0,0,0,0,0,1,0,0,0,0
reflexão tardia,0,0,0,0,0,0,0,0,0,0
aga,0,0,0,1,0,0,1,0,0,1
ágata,0,0,0,0,0,0,0,0,0,0
era,0,0,0,0,0,0,0,0,0,0
envelhecido,0,0,0,0,0,0,0,0,0,0
agência,0,0,0,0,0,0,0,0,0,0
agente,0,0,0,0,0,0,0,0,0,0
aglomeração,0,0,0,0,0,0,0,0,0,0
agravado,1,0,0,0,0,1,0,0,0,0
agravante,1,0,0,0,0,1,0,1,0,0
agravamento,1,0,1,0,0,1,0,0,0,0
agregar,0,0,0,0,0,0,0,0,0,0
agregação,0,0,0,0,0,0,0,0,0,0
agressão,1,0,0,1,0,1,0,0,0,0
agressivo,1,0,0,1,0,1,0,0,0,0
agressor,1,0,0,1,0,1,0,0,0,0
horrorizado,0,0,1,1,0,1,0,0,1,0
ágil,0,0,0,0,0,0,1,0,0,0
agilidade,0,0,0,0,0,0,1,0,0,0
agitado,1,0,0,0,0,1,0,0,0,0
agitação,1,0,0,0,0,1,0,0,0,0
agnóstico,0,0,0,0,0,0,0,0,0,0
atrás,0,0,0,0,0,0,0,0,0,0
agonizante,0,0,0,1,0,1,0,0,0,0
agonia,1,0,0,1,0,1,0,1,0,0
aceita,0,0,0,0,0,0,1,0,0,0
agradável,0,0,0,0,0,0,1,0,0,1
concordou,0,0,0,0,0,0,1,0,0,1
concordando,0,0,0,0,0,0,1,0,0,1
acordo,0,0,0,0,0,0,1,0,0,1
agrícola,0,0,0,0,0,0,0,0,0,0
agricultura,0,0,0,0,0,0,1,0,0,0
encalhado,0,0,0,0,0,1,0,0,0,0
água,0,0,0,0,0,0,0,0,0,0
à frente,0,0,0,0,0,0,1,0,0,0
ajuda,0,0,0,0,0,0,1,0,0,0
auxiliando,0,0,0,0,0,0,1,0,0,0
todos,0,0,0,0,0,1,0,1,0,0
doente,0,0,0,1,0,1,0,1,0,0
doença,0,0,0,0,0,0,0,0,0,0
mirar,0,0,0,0,0,0,0,0,0,0
sem rumo,0,0,0,0,0,1,0,0,0,0
ar,0,0,0,0,0,0,0,0,0,0
airbag,0,0,0,0,0,0,0,0,0,0
transporte aéreo,0,0,0,0,0,0,0,0,0,0
CIA aérea,0,0,0,0,0,0,0,0,0,0
aviador,0,0,0,0,0,0,0,0,0,0
avião,0,0,0,0,0,0,0,0,0,0
aeroporto,0,1,0,0,0,0,0,0,0,0
ares,0,0,1,0,0,1,0,0,0,0
dirigível,0,0,0,0,0,0,0,0,0,0
corredor,0,0,0,0,0,0,0,0,0,0
ai,0,0,0,0,0,0,0,0,0,0
entreaberto,0,0,0,0,0,0,0,0,0,0
aparentado,0,0,0,0,0,0,0,0,0,1
alabastro,0,0,0,0,0,0,1,0,0,0
alarme,0,0,0,1,0,1,0,0,1,0
alarmante,0,0,0,1,0,1,0,0,1,0
alva,0,0,0,0,0,0,0,0,0,1
álbum,0,0,0,0,0,0,0,0,0,0
alquimia,0,0,0,0,0,0,0,0,0,0
álcool,0,0,0,0,0,0,0,0,0,0
alcoolismo,1,0,1,1,0,1,0,1,0,0
alcova,0,0,0,0,0,0,0,0,0,0
alerta,0,0,0,0,0,0,0,0,0,0
alerta,0,1,0,1,0,0,1,0,1,0
alertas,0,1,0,1,0,0,0,0,1,0
alfafa,0,0,0,0,0,0,0,0,0,0
álgebra,0,0,0,0,0,0,0,0,0,0
algébrico,0,0,0,0,0,0,0,0,0,0
algoritmo,0,0,0,0,0,0,0,0,0,0
álibi,0,0,0,0,0,0,0,0,0,0
estrangeiro,0,0,1,1,0,1,0,0,0,0
alienar,1,0,1,0,0,1,0,0,0,0
alienado,0,0,0,0,0,1,0,1,0,0
alienação,1,0,1,1,0,1,0,1,0,0
aceso,0,0,0,0,0,0,0,0,0,0
alinhado,0,0,0,0,0,0,0,0,0,0
alinhamento,0,0,0,0,0,0,0,0,0,0
parecido,0,0,0,0,0,0,0,0,0,0
alimentação,0,0,0,0,0,0,1,0,0,0
pensão alimentícia,0,0,0,0,0,1,0,0,0,0
alíquota,0,0,0,0,0,0,0,0,0,0
vivo,0,1,0,0,1,0,1,0,0,1
alcalino,0,0,0,0,0,0,0,0,0,0
alcalóides,0,0,0,0,0,0,0,0,0,0
acalmar,0,0,0,0,0,0,1,0,0,0
alegação,1,0,0,0,0,1,0,0,0,0
alegar,0,0,0,0,0,1,0,0,0,0
alegado,0,0,0,0,0,0,0,0,0,0
fidelidade,0,0,0,0,0,0,1,0,0,1
alegórico,0,0,0,0,0,0,0,0,0,0
alegoria,0,0,0,0,0,0,0,0,0,0
allegro,0,0,0,0,0,0,1,0,0,0
aliviar,0,0,0,0,0,0,1,0,0,0
alívio,0,0,0,0,0,0,1,0,0,0
beco,0,0,0,0,0,0,0,0,0,0
aliança,0,0,0,0,0,0,0,0,0,1
aliado,0,0,0,0,0,0,1,0,0,1
jacaré,0,0,0,0,0,0,0,0,0,0
distribuir,0,0,0,0,0,0,0,0,0,0
alocação,0,0,0,0,0,0,0,0,0,0
distribuir,0,0,0,0,0,0,0,0,0,0
parcela,0,0,0,0,0,0,0,0,0,0
permitido,0,0,0,0,0,0,1,0,0,0
mesada,0,0,0,0,0,0,0,0,0,0
permitido,0,0,0,0,0,0,0,0,0,0
Liga,0,0,0,0,0,0,0,0,0,0
fascínio,0,1,0,0,1,0,1,0,1,0
sedutor,0,0,0,0,0,0,1,0,0,0
alusão,0,0,0,0,0,0,0,0,0,0
aluvial,0,0,0,0,0,0,0,0,0,0
aliado,0,0,0,0,0,0,1,0,0,1
almanaque,0,0,0,0,0,0,0,0,0,0
todo-poderoso,0,0,0,0,0,0,1,0,0,0
no alto,0,0,0,0,0,0,0,0,0,0
aloha,0,1,0,0,1,0,1,0,0,0
ao lado,0,0,0,0,0,0,0,0,0,0
distante,0,0,0,0,0,1,0,0,0,0
em voz alta,0,0,0,0,0,0,0,0,0,0
alfabeto,0,0,0,0,0,0,0,0,0,0
alfabético,0,0,0,0,0,0,0,0,0,0
altar,0,0,0,0,0,0,0,0,0,0
alterar,0,0,0,0,0,0,0,0,0,0
alteração,0,0,0,0,0,0,0,0,0,0
altercação,1,0,0,0,0,1,0,0,0,0
alterado,0,0,0,0,0,0,0,0,0,0
alternar,0,0,0,0,0,0,0,0,0,0
alternativo,0,0,0,0,0,0,0,0,0,0
altitude,0,0,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0,0,0
completamente,0,0,0,0,0,0,0,0,0,0
ex-aluno,0,0,0,0,0,0,0,0,0,0
alveolar,0,0,0,0,0,0,0,0,0,0
amálgama,0,0,0,0,0,0,0,0,0,0
amalgamação,0,0,0,0,0,0,0,0,0,0
acumular,0,0,0,0,0,0,0,0,0,0
amador,0,0,0,0,0,0,0,0,0,0
surpreender,0,0,0,0,0,0,0,0,1,0
espanto,0,0,0,0,0,0,0,0,0,0
Surpreendentemente,0,0,0,0,1,0,1,0,1,0
embaixador,0,0,0,0,0,0,1,0,0,1
âmbar,0,0,0,0,0,0,0,0,0,0
ambiente,0,0,0,0,0,0,0,0,0,0
ambiguidade,0,0,0,0,0,0,0,0,0,0
ambíguo,0,0,0,0,0,1,0,0,0,0
âmbito,0,0,0,0,0,0,0,0,0,0
ambição,0,1,0,0,1,0,1,0,0,1
ambicioso,0,0,0,0,0,0,0,0,0,0
ambulância,0,0,0,1,0,0,0,0,0,1
emboscada,1,0,0,1,0,1,0,0,1,0
melhorar,0,0,0,0,0,0,1,0,0,0
um homem,0,0,0,0,1,0,1,0,0,1
receptivo,0,0,0,0,0,0,1,0,0,0
alterar,0,0,0,0,0,0,1,0,0,0
alteração,0,0,0,0,0,0,0,0,0,0
corrige,0,0,0,0,0,0,1,0,0,0
amenidade,0,0,0,0,0,0,1,0,0,0
ametista,0,0,0,0,0,0,0,0,0,0
amável,0,0,0,0,0,0,1,0,0,0
amigável,0,0,0,0,1,0,1,0,0,0
Entre,0,0,0,0,0,0,0,0,0,0
no meio,0,0,0,0,0,0,0,0,0,0
amônia,0,0,1,0,0,0,0,0,0,0
munição,0,0,0,0,0,0,0,0,0,0
amnésia,0,0,0,0,0,1,0,0,0,0
anistia,0,0,0,0,1,0,1,0,0,0
amorfo,0,0,0,0,0,0,0,0,0,0
amortização,0,0,0,0,0,0,0,0,0,1
quantia,0,0,0,0,0,0,0,0,0,0
amor,0,1,0,0,1,0,1,0,0,1
e comercial,0,0,0,0,0,0,0,0,0,0
anfetaminas,0,0,1,0,0,1,0,0,0,0
anfíbio,0,0,0,0,0,0,0,0,0,0
anfíbio,0,0,0,0,0,0,0,0,0,0
anfiteatro,0,0,0,0,0,0,0,0,0,0
amplificação,0,0,0,0,0,0,0,0,0,0
amplificar,0,0,0,0,0,0,0,0,0,0
amplitude,0,0,0,0,0,0,0,0,0,0
amplamente,0,0,0,0,0,0,0,0,0,0
amputação,0,0,0,0,0,0,0,0,0,0
amuleto,0,0,0,0,0,0,0,0,0,0
divertir,0,0,0,0,1,0,1,0,0,0
divertido,0,0,0,0,1,0,1,0,0,0
diversão,0,0,0,0,1,0,1,0,0,0
divertido,0,0,0,0,1,0,1,0,0,0
Ana,0,0,0,0,0,0,0,0,0,0
anaconda,0,0,1,1,0,1,0,0,0,0
anestesia,0,0,0,0,0,0,0,0,0,0
anestésico,0,0,0,0,0,0,0,0,0,0
anal,0,0,0,0,0,1,0,0,0,0
analgésico,0,0,0,0,0,0,0,0,0,0
análogo,0,0,0,0,0,0,0,0,0,0
análogo,0,0,0,0,0,0,0,0,0,0
analogia,0,0,0,0,0,0,0,0,0,0
análise,0,0,0,0,0,0,0,0,0,0
analista,0,1,0,0,0,0,1,0,0,1
analítico,0,0,0,0,0,0,0,0,0,0
analisar,0,0,0,0,0,0,0,0,0,0
analisador,0,0,0,0,0,0,0,0,0,0
anarquismo,1,0,0,1,0,1,0,0,0,0
anarquista,1,0,0,1,0,1,0,0,0,0
anarquia,1,0,0,1,0,1,0,0,0,0
anastomose,0,0,0,0,0,0,0,0,0,0
anátema,1,0,1,1,0,1,0,1,0,0
anatômico,0,0,0,0,0,0,0,0,0,0
anatomia,0,0,0,0,0,0,0,0,0,0
antepassado,0,0,0,0,0,0,0,0,0,0
ancestral,0,0,0,0,0,0,0,0,0,1
ancestralidade,0,0,0,0,0,0,0,0,0,0
âncora,0,0,0,0,0,0,1,0,0,0
ancoragem,0,0,0,0,0,0,1,1,0,0
antigo,0,0,0,0,0,1,0,0,0,0
auxiliar,0,0,0,0,0,0,0,0,0,0
andrógeno,0,0,0,0,0,0,0,0,0,0
anêmona,0,0,0,0,0,0,0,0,0,0
uma nova,0,0,0,0,0,0,0,0,0,0
anjo,0,1,0,0,1,0,1,0,1,1
angélico,0,0,0,0,1,0,1,0,0,1
raiva,1,0,0,0,0,1,0,0,0,0
angina,0,0,0,1,0,1,0,0,0,0
angiografia,0,0,0,0,0,0,0,0,0,0
ângulo,0,0,0,0,0,0,0,0,0,0
pesca à linha,0,1,0,0,0,1,0,0,0,0
Bravo,1,0,1,0,0,1,0,0,0,0
angústia,1,0,0,1,0,1,0,1,0,0
angular,0,0,0,0,0,0,0,0,0,0
anidro,0,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,0,0,0,0
animar,0,0,0,0,0,0,1,0,0,0
animado,0,0,0,0,1,0,1,0,0,0
animação,0,0,0,0,0,0,0,0,0,0
antipatia,1,0,1,1,0,1,0,1,0,0
animus,1,0,0,0,0,1,0,0,0,0
tornozelo,0,0,0,0,0,0,0,0,0,0
anuais,0,0,0,0,0,0,0,0,0,0
anexo,0,0,0,0,0,0,0,0,0,0
anexação,0,0,0,0,0,0,0,0,0,0
anexo,0,0,0,0,0,0,0,0,0,0
aniquilar,1,0,0,1,0,1,0,0,0,0
aniquilado,1,0,0,1,0,1,0,1,0,0
aniquilação,1,0,0,1,0,1,0,1,0,0
anotar,0,0,0,0,0,0,0,0,0,0
anotação,0,0,0,0,0,0,0,0,0,0
anunciar,0,0,0,0,0,0,0,0,0,0
anúncio,0,1,0,0,0,0,0,0,0,0
incomodar,1,0,1,0,0,1,0,0,0,0
aborrecimento,1,0,1,0,0,1,0,0,0,0
chato,1,0,0,0,0,1,0,0,0,0
anuidade,0,0,0,0,0,0,0,0,0,0
anular,0,0,0,0,0,1,0,0,0,0
anular,0,0,0,0,0,0,0,0,0,0
anulação,0,0,0,0,0,1,0,1,0,0
anel,0,0,0,0,0,0,0,0,0,0
unção,0,0,0,0,0,0,0,0,0,0
anômalo,0,0,0,0,0,0,0,0,0,0
anomalia,0,0,0,1,0,1,0,0,1,0
logo,0,0,0,0,0,0,0,0,0,0
anônimo,0,0,0,0,0,1,0,0,0,0
responda,0,0,0,0,0,0,0,0,0,0
responsável,0,0,0,0,0,0,0,0,0,1
respondendo,0,0,0,0,0,0,0,0,0,0
formiga,0,0,0,0,0,0,0,0,0,0
antagonismo,1,0,0,0,0,1,0,0,0,0
antagonista,1,0,0,0,0,1,0,0,0,0
antagônico,1,0,1,0,0,1,0,0,0,0
ante,0,0,0,0,0,0,0,0,0,0
antecedente,0,0,0,0,0,0,0,0,0,0
antílope,0,0,0,0,0,0,0,0,0,0
antena,0,0,0,0,0,0,0,0,0,0
anterior,0,0,0,0,0,0,0,0,0,0
